,kanji,kanji_with_hiragana,hiragana,meaning,property,example,example_meaning,step1,step2
1658,すき焼き,すき 焼[や]き,すきやき,sukiyaki,Noun,昨日の夜は<b>すき焼き</b>を食べた。,I had sukiyaki last night.,9,178
1659,焼く,焼[や]く,やく,"burn (st), grill, bake を",Verb,今、魚を<b>焼いています</b>。,I'm grilling fish now.,10,170
1660,まあまあ,まあまあ,まあまあ,"OK, not bad, average",Adjective,彼の成績は<b>まあまあ</b>です。,His results are so-so.,9,121
1661,乾く,乾[かわ]く,かわく,"(st) drys, gets dry (が)",Verb,夏は洗濯物がすぐ<b>乾く</b>。,Laundry dries quickly in summer.,8,42
1662,乾杯,乾杯[かんぱい],かんぱい,a toast,Verbal Noun,お二人の未来に<b>乾杯</b>しましょう。,Let's drink a toast to the couple's future.,8,67
1663,乾かす,乾[かわ]かす,かわかす,dry (st) を,Verb,ぬれた服を<b>乾かした</b>。,I dried the wet clothes.,9,72
1664,新幹線,新幹線[しんかんせん],しんかんせん,"Shinkansen, Bullet Train",Noun,<b>新幹線</b>で京都に行きました。,I went to Kyoto by bullet train.,6,39
1665,マフラー,マフラー,マフラー,"scarf, muffler",Noun,彼女は首に<b>マフラー</b>をまいていた。,She was wearing a scarf around her neck.,9,122
1666,素晴らしい,素晴[すば]らしい,すばらしい,"splendid, excellent",Adjective,<b>素晴らしい</b>景色ですね。,This is wonderful scenery.,7,181
1667,海岸,海岸[かいがん],かいがん,"coast, seashore",Noun,<b>海岸</b>を散歩しましょう。,Let's take a walk along the coast.,5,163
1668,家庭,家庭[かてい],かてい,"home, family",Noun,彼は<b>家庭</b>を大切にしている。,He values his family.,4,134
1669,庭,庭[にわ],にわ,"garden, court",Noun,<b>庭</b>にバラを植えました。,I planted a rose in the garden.,10,2
1670,アクセサリー,アクセサリー,アクセサリー,"accessories, jewelry",Noun,この<b>アクセサリー</b>は素敵ね。,This jewelry is lovely.,9,124
1671,桜,桜[さくら],さくら,"cherry tree, cherry blossom",Noun,<b>桜</b>は三月か四月に咲きます。,Cherry blossoms bloom in March or April.,6,176
1672,咲く,咲[さ]く,さく,"bloom, blossom",Verb,桜の花が<b>咲きました</b>。,The cherry blossoms have bloomed.,6,88
1673,吹く,吹[ふ]く,ふく,"blow, play on a wind instrument",Verb,今日は北風が<b>吹いている</b>。,The north wind is blowing today.,6,7
1674,散歩,散歩[さんぽ],さんぽ,"walk, stroll",Verbal Noun,私のお祖父さんは毎日<b>散歩</b>します。,My grandfather takes a walk every day.,6,55
1675,あくび,あくび,あくび,yawn,Verbal Noun,父が<b>あくび</b>をした。,My father yawned.,9,125
1676,植える,植[う]える,うえる,"plant (a plant), embed",Verb,庭にバラを<b>植えました</b>。,I planted a rose in the garden.,7,33
1677,屋根,屋根[やね],やね,roof,Noun,<b>屋根</b>にカラスが止まっています。,There's a crow on the roof.,6,91
1678,黒板,黒板[こくばん],こくばん,blackboard,Noun,答えを<b>黒板</b>に書いてください。,Please write the answer on the blackboard.,7,197
1679,掲示板,掲示板[けいじばん],けいじばん,"notice board, bulletin board",Noun,<b>掲示板</b>のお知らせを見ましたか。,Did you see the notice on the bulletin board?,8,167
1680,からから,からから,からから,"thirsty, dry",Adjective,おしゃべりして喉が<b>からから</b>になりました。,My throat got dry from chatting.,9,129
1681,草,草[くさ],くさ,"grass, weed",Noun,庭に<b>草</b>が生えている。,Weeds are growing in the garden.,7,16
1682,葉,葉[は],は,leaf,Noun,これは桜の<b>葉</b>です。,This is a cherry tree leaf.,6,149
1683,絵葉書,絵葉書[えはがき],えはがき,picture postcard,Noun,友達から<b>絵葉書</b>が届きました。,I received a picture postcard from a friend.,9,166
1684,はがき,はがき,はがき,postcard,Noun,家族に<b>はがき</b>を書いています。,I'm writing a postcard to my family.,9,180
1685,ふらふら,ふらふら,ふらふら,"dizzy, weak",Adverb,私は疲れて<b>ふらふら</b>です。,I'm tired and feel dizzy.,9,136
1686,吸う,吸[す]う,すう,"inhale, suck",Verb,彼は大きく息を<b>吸った</b>。,He took a deep breath.,6,142
1687,普及,普及[ふきゅう],ふきゅう,"spreading, becoming popular",Verbal Noun,ゴミのリサイクルが<b>普及</b>している。,Garbage recycling has become widespread.,3,93
1688,胃,胃[い],い,stomach,Noun,昨日から<b>胃</b>が痛い。,I've had a stomach ache since yesterday.,7,94
1689,皿,皿[さら],さら,"plate, counter for plates or servings",Noun,<b>皿</b>にケーキを載せました。,I put the cake on the plate.,8,43
1690,こぼす,こぼす,こぼす,spill (st),Verb,ソファにワインを<b>こぼした</b>。,I spilt wine on the sofa.,9,139
1691,血,血[ち],ち,blood,Noun,<b>血</b>が出ていますよ。,You're bleeding.,10,91
1692,内容,内容[ないよう],ないよう,contents,Noun,この本の<b>内容</b>を説明してください。,Please explain the content of this book.,3,121
1693,背景,背景[はいけい],はいけい,"background, scenery, setting",Noun,事件の<b>背景</b>に何があったのだろう。,I wonder what was behind the incident.,4,22
1694,骨,骨[ほね],ほね,"bone, frame",Noun,彼は足の<b>骨</b>を折りました。,He broke a bone in his foot.,10,7
1695,ランチ,ランチ,ランチ,lunch,Noun,一緒に<b>ランチ</b>に行きませんか。,Do you want to go to lunch together?,9,140
1696,滑る,滑[すべ]る,すべる,"slide, slip, flunk an examination",Verb,彼は雪の上を<b>滑った</b>。,He slipped on the snow.,8,192
1697,折れる,折[お]れる,おれる,"snap/break, be folded, give in (to)",Verb,強風で木の枝が<b>折れた</b>。,The tree branch broke in the strong wind.,7,189
1698,折る,折[お]る,おる,"break off, fold, bend",Verb,祖父は足の骨を<b>折りました</b>。,My grandfather broke a bone in his foot.,8,13
1699,健康,健康[けんこう],けんこう,healthy,Adjectival Noun,私は<b>健康</b>な生活を送っています。,I'm living a healthy lifestyle.,5,34
1700,レシート,レシート,レシート,receipt,Noun,<b>レシート</b>を財布に入れました。,I put the receipt in my wallet.,9,141
1701,珍しい,珍[めずら]しい,めずらしい,"unusual, rare, strange",Adjective,昨日<b>珍しい</b>果物を食べました。,I ate some unusual fruit yesterday.,5,3
1702,撮る,撮[と]る,とる,"take (a picture), film (a video)",Verb,写真をたくさん<b>撮りました</b>。,I took a lot of photographs.,5,159
1703,再び,再[ふたた]び,ふたたび,"again, a second time (somewhat formal)",Adverb,彼は<b>再び</b>ここに戻ってきた。,He came back here once again.,4,52
1704,再来年,再来年[さらいねん],さらいねん,the year after next,Noun,次のオリンピックは<b>再来年</b>です。,The next Olympics are the year after next.,8,116
1705,チョーク,チョーク,チョーク,chalk,Noun,<b>チョーク</b>で黒板に字を書きました。,I wrote letters on the blackboard with chalk.,9,148
1706,再来月,再来月[さらいげつ],さらいげつ,the month after next,Noun,<b>再来月</b>まで予約で一杯です。,They're fully booked until the month after the next.,10,61
1707,再来週,再来週[さらいしゅう],さらいしゅう,the week after next,Noun,<b>再来週</b>は忙しいです。,I'll be busy the week after next.,10,62
1708,放送,放送[ほうそう],ほうそう,broadcasting,Verbal Noun,その番組は来週<b>放送</b>されます。,The program will be broadcast next week.,5,51
1709,装置,装置[そうち],そうち,"equipment, device",Noun,実験にはこの<b>装置</b>を使います。,We use this device in our experiments.,4,17
1710,ティッシュ,ティッシュ,ティッシュ,tissue,Noun,<b>ティッシュ</b>を取ってください。,Please pass me the tissues.,9,150
1711,仮名,仮名[かな],かな,"kana, Japanese syllabary",Noun,お名前に<b>仮名</b>を振ってください。,Please write the pronunciation of your name in kana.,8,163
1712,送り仮名,送[おく]り 仮名[がな],おくりがな,kana suffix,Noun,その<b>送り仮名</b>は間違っています。,That kana suffix is wrong.,9,92
1713,鏡,鏡[かがみ],かがみ,mirror,Noun,彼女は<b>鏡</b>を見て髪を直した。,She looked in the mirror and tidied her hair.,7,15
1714,悲しむ,悲[かな]しむ,かなしむ,"feel sad, lament",Verb,父は友だちの死を<b>悲しんでいます</b>。,My father is grieving because of his friend's death.,8,126
1715,ノック,ノック,ノック,knock,Verbal Noun,入る時はドアを<b>ノック</b>してください。,Please knock before entering.,9,154
1716,固い,固[かた]い,かたい,"firm, unchanging, unbreakable",Adjective,私の上司は頭が<b>固い</b>。,My boss is stubborn.,7,52
1717,美術館,美術館[びじゅつかん],びじゅつかん,art museum,Noun,昨日、<b>美術館</b>に行きました。,I went to the museum yesterday.,6,97
1718,美人,美人[びじん],びじん,beautiful woman,Noun,彼のお母さんは<b>美人</b>です。,His mother's a beautiful woman.,8,29
1719,美容院,美容院[びよういん],びよういん,hair salon,Noun,父は<b>美容院</b>で髪を切ります。,My father has his hair cut at a hair salon.,9,84
1720,よろしく,よろしく,よろしく,"properly, one's regards",Adverb,<b>よろしく</b>お願いします。,My best regards.,9,162
1721,博物館,博物館[はくぶつかん],はくぶつかん,museum,Noun,昨日、車の<b>博物館</b>に行った。,I went to the car museum yesterday.,6,168
1722,開催,開催[かいさい],かいさい,"holding (of an event), opening",Verbal Noun,京都で国際会議が<b>開催</b>された。,An international conference was held in Kyoto.,4,88
1723,特徴,特徴[とくちょう],とくちょう,distinguishing characteristic,Noun,この曲線がこの車の<b>特徴</b>です。,These curves are a unique feature of this car.,3,139
1724,許す,許[ゆる]す,ゆるす,"forgive, permit",Verb,私は彼を<b>許しました</b>。,I forgave him.,4,191
1725,がらがら,がらがら,がらがら,empty,Adjective,映画館は<b>がらがら</b>でした。,The movie theater was empty.,9,171
1726,免許証,免許証[めんきょしょう],めんきょしょう,license,Noun,<b>免許証</b>を見せてください。,Please show me your license.,9,86
1727,教師,教師[きょうし],きょうし,"teacher, instructor",Noun,彼は高校<b>教師</b>だ。,He's a high school teacher.,5,20
1728,教授,教授[きょうじゅ],きょうじゅ,professor,Noun,彼は化学の<b>教授</b>です。,He's a chemistry professor.,4,135
1729,伝える,伝[つた]える,つたえる,"convey, tell (sb) that, let (sb) know",Verb,みんなにこのことを<b>伝えて</b>ください。,Please tell everyone about this matter.,4,34
1730,ぎらぎら,ぎらぎら,ぎらぎら,"dazzling, glaring, blinding",Adverb,太陽が<b>ぎらぎら</b>している。,The sun is glaring.,9,173
1731,鳥,鳥[とり],とり,"bird, poultry",Noun,<b>鳥</b>が飛んでいます。,A bird is flying.,10,105
1732,鳴る,鳴[な]る,なる,"sound, ring, thunder",Verb,今朝、5時に電話が<b>鳴った</b>。,The telephone rang this morning at five o'clock.,7,65
1733,鳴く,鳴[な]く,なく,"make sound (animal); chirp, meow, etc.",Verb,どこかでネコが<b>鳴いている</b>。,A cat is meowing somewhere.,8,70
1734,声,声[こえ],こえ,"voice, sound",Noun,彼は大きな<b>声</b>で話した。,He spoke loudly.,3,72
1735,そっち,そっち,そっち,"there, that way (causal)",Noun,<b>そっち</b>が私の部屋です。,That's my room over there.,9,179
1736,卵,卵[たまご],たまご,egg,Noun,ニワトリは<b>卵</b>を産みます。,Chickens lay eggs.,6,109
1737,犬,犬[いぬ],いぬ,dog,Noun,この<b>犬</b>はとても賢い。,This dog is very clever.,5,99
1738,馬,馬[うま],うま,horse,Noun,彼は牧場で<b>馬</b>に乗った。,He rode a horse at the ranch.,5,126
1739,駐車場,駐車場[ちゅうしゃじょう],ちゅうしゃじょう,parking area,Noun,車は<b>駐車場</b>に止めてください。,Please park the car in the parking lot.,6,89
1740,ピンポン,ピンポン,ピンポン,"table tennis, ping pong",Verbal Noun,昨日の夕方、友達と<b>ピンポン</b>をした。,I played ping-pong with a friend last night.,9,183
1741,騒ぐ,騒[さわ]ぐ,さわぐ,"make a racket, mess around, make a fuss",Verb,電車の中で<b>騒がないで</b>ください。,Please don't make a racket in the train.,10,63
1742,刺す,刺[さ]す,さす,"stab, prick, sting",Verb,虫に腕を<b>刺されました</b>。,I was stung on the arm by an insect.,6,177
1743,刺身,刺身[さしみ],さしみ,"sashimi, sliced raw meat",Noun,私は<b>刺身</b>は食べません。,I don't eat sashimi.,9,144
1744,激しい,激[はげ]しい,はげしい,"violent, intense",Adjective,<b>激しい</b>雨が降っています。,A very heavy rain is falling.,3,158
1745,ぺこぺこ,ぺこぺこ,ぺこぺこ,"very hungry, starving",Adjective,私はおなかが<b>ぺこぺこ</b>です。,I'm very hungry.,9,186
1746,驚く,驚[おどろ]く,おどろく,"be surprised, be startled",Verb,彼は血を見て<b>驚いた</b>。,He was surprised to see blood.,4,187
1747,倒れる,倒[たお]れる,たおれる,"fall down, succumb (to)",Verb,強風で木が<b>倒れた</b>。,The tree fell in the gale.,5,88
1748,倒す,倒[たお]す,たおす,"knock down, overthrow, defeat",Verb,そのスキーヤーはポールを<b>倒した</b>。,The skier knocked the pole down.,10,87
1749,傾向,傾向[けいこう],けいこう,"tendency, inclination",Noun,最近の若者は難しい本を読まない<b>傾向</b>がある。,Young people these days tend not to read difficult books.,4,87
1750,ぺらぺら,ぺらぺら,ぺらぺら,fluently,Adjectival Noun,彼女はドイツ語が<b>ぺらぺら</b>です。,She speaks German fluently.,9,187
1751,柔道,柔道[じゅうどう],じゅうどう,judo,Noun,私は<b>柔道</b>を習っています。,I'm learning judo.,7,142
1752,柔らかい,柔[やわ]らかい,やわらかい,soft,Adjective,布団がとても<b>柔らかい</b>。,The futon is very soft.,7,147
1753,柔らか,柔[やわ]らか,やわらか,"soft, tender, gentle",Adjectival Noun,彼の声は<b>柔らか</b>だ。,His voice is gentle.,9,7
1754,主張,主張[しゅちょう],しゅちょう,"argument, case, one's point",Verbal Noun,上司は私の<b>主張</b>を受け入れた。,My boss accepted my argument.,4,18
1755,レインコート,レインコート,レインコート,raincoat,Noun,雨なので<b>レインコート</b>を着ました。,I put on my raincoat because it was raining.,9,189
1756,引っ張る,引[ひ]っ 張[ぱ]る,ひっぱる,"pull, drag",Verb,娘が私の手を<b>引っ張った</b>。,My daughter tugged on my hand.,7,86
1757,突き当たる,突[つ]き 当[あ]たる,つきあたる,"come to the end of (street), run into (st)",Verb,<b>突き当たったら</b>右に曲がってください。,Please turn right when the street ends.,9,29
1758,突き当たり,突[つ]き 当[あ]たり,つきあたり,end of a street,Noun,この先は<b>突き当たり</b>です。,There's a T-intersection ahead.,9,115
1759,壁,壁[かべ],かべ,"wall, partition",Noun,<b>壁</b>に絵が掛かっている。,There's a painting on the wall.,5,14
1760,アイス,アイス,アイス,"popsicle, ice lolly",Noun,暑いので<b>アイス</b>を食べました。,I ate ice cream because it was hot.,9,190
1761,弾く,弾[ひ]く,ひく,play (a stringed instrument),Verb,彼はギターを<b>弾きます</b>。,He plays the guitar.,10,136
1762,丸い,丸[まる]い,まるい,round,Adjective,地球は<b>丸い</b>。,The earth is round.,7,102
1763,丸,丸[まる],まる,"circle, wholeness",Noun,紙に大きな<b>丸</b>を書きました。,I drew a big circle on the paper.,10,163
1764,攻撃,攻撃[こうげき],こうげき,"attack, criticism",Verbal Noun,2003年にアメリカはイラクを<b>攻撃</b>した。,The United States attacked Iraq in 2003.,4,139
1765,いつごろ,いつごろ,いつごろ,"about when, about what time",Noun,<b>いつごろ</b>夏休みを取りますか。,About when are you going on summer vacation?,9,191
1766,絶対に,絶対[ぜったい]に,ぜったいに,"absolutely, unconditionally",Adverb,<b>絶対に</b>駄目です。,Absolutely not.,10,190
1767,消防車,消防車[しょうぼうしゃ],しょうぼうしゃ,fire truck,Noun,<b>消防車</b>が4台も来た。,Four fire engines came.,8,46
1768,嫌,嫌[いや],いや,"dislike, have a dislike for",Adjectival Noun,私は待つのが<b>嫌</b>だ。,I hate waiting.,9,21
1769,大嫌い,大嫌[だいきら]い,だいきらい,hate,Adjectival Noun,私はテストが<b>大嫌い</b>。,I hate tests.,9,78
1770,ウィスキー,ウィスキー,ウィスキー,whisky,Noun,この<b>ウィスキー</b>は強いよ。,This whisky is strong.,9,192
1771,大抵,大抵[たいてい],たいてい,"generally, mostly",Adverb,朝食は<b>大抵</b>7時頃に食べます。,I usually eat breakfast around seven o'clock.,9,12
1772,大勢,大勢[おおぜい],おおぜい,"many (people), a crowd",Noun,<b>大勢</b>で食事に出かけました。,We went out to eat in a large group.,6,69
1773,姿,姿[すがた],すがた,"figure, appearance",Noun,遠くに彼女の<b>姿</b>が見えた。,I saw her figure from a long way away.,3,83
1774,姿勢,姿勢[しせい],しせい,"posture, attitude",Noun,あの子はいつも<b>姿勢</b>が悪い。,That kid always has bad posture.,4,45
1775,エアメール,エアメール,エアメール,airmail,Noun,彼に<b>エアメール</b>を送りました。,I sent him a letter by airmail.,9,193
1776,恐ろしい,恐[おそ]ろしい,おそろしい,"terrible, frightening",Adjective,昨夜<b>恐ろしい</b>夢を見た。,I had a terrible dream last night.,6,125
1777,怖い,怖[こわ]い,こわい,scary,Adjective,私は犬が<b>怖い</b>です。,I'm scared of dogs.,7,14
1778,糸,糸[いと],いと,"thread, yarn",Noun,母は<b>糸</b>を針に通した。,My mother threaded the needle.,6,133
1779,孫,孫[まご],まご,grandchild,Noun,昨日、<b>孫</b>が生まれました。,My grandchild was born yesterday.,10,160
1780,シャープペンシル,シャープペンシル,シャープペンシル,mechanical pencil,Noun,私の<b>シャープペンシル</b>がありません。,My mechanical pencil is missing.,9,197
1781,木綿,木綿[もめん],もめん,cotton,Noun,彼女は<b>木綿</b>のシャツを着ています。,She's wearing a cotton shirt.,10,168
1782,偉い,偉[えら]い,えらい,"great, famous, eminent",Adjective,彼は<b>偉い</b>学者です。,He's a great scholar.,8,82
1783,爪,爪[つめ],つめ,"nail, claw",Noun,<b>爪</b>が伸びています。,My nails have grown.,10,101
1784,机,机[つくえ],つくえ,desk,Noun,新しい<b>机</b>を買ってもらいました。,They bought me a new desk.,10,99
1785,セロテープ,セロテープ,セロテープ,Scotch tape,Noun,<b>セロテープ</b>はありますか。,Do you have any scotch tape?,9,198
1786,棚,棚[たな],たな,"shelf, rack",Noun,大きな<b>棚</b>はとても便利です。,A large set of shelves is very useful.,7,108
1787,本棚,本棚[ほんだな],ほんだな,bookshelf,Noun,これはとても大きな<b>本棚</b>ですね。,This is a very big bookcase.,8,97
1788,方針,方針[ほうしん],ほうしん,"course, policy",Noun,今後の<b>方針</b>が決まった。,We've decided our future policy.,3,143
1789,釣る,釣[つ]る,つる,"to fish, to catch (a fish)",Verb,昨日大きな魚を<b>釣りました</b>。,I caught a big fish yesterday.,8,160
1790,やけど,やけど,やけど,burn,Verbal Noun,彼は手に<b>やけど</b>をしました。,He burned his hand.,10,10
1791,お釣り,お 釣[つ]り,おつり,change,Noun,母は<b>お釣り</b>を確かめた。,My mother checked the change.,10,25
1792,鍵,鍵[かぎ],かぎ,"key, lock",Noun,出かける時は<b>鍵</b>を掛けてください。,Please lock the door when you go out.,7,165
1793,鍋,鍋[なべ],なべ,"pan, pot",Noun,<b>鍋</b>にスープが入っているよ。,There's some soup in the pan.,9,100
1794,寿司,寿司[すし],すし,sushi,Noun,彼女は<b>寿司</b>を初めて食べました。,She ate sushi for the first time.,8,92
1795,アイスコーヒー,アイスコーヒー,アイスコーヒー,iced coffee,Noun,<b>アイスコーヒー</b>をください。,I'll have an iced coffee please.,10,13
1796,泥棒,泥棒[どろぼう],どろぼう,"thief, crook",Verbal Noun,近所に<b>泥棒</b>が入った。,There was a burglary in the neighborhood.,8,50
1797,湯,湯[ゆ],ゆ,"hot water, hot bath, bathhouse",Noun,お風呂のお<b>湯</b>が一杯です。,The bath is filled with hot water.,10,173
1798,沸く,沸[わ]く,わく,"boil, be excited",Verb,お風呂が<b>沸きました</b>。,The bath is ready.,8,99
1799,沸かす,沸[わ]かす,わかす,"boil, excite",Verb,お湯を<b>沸かして</b>ください。,Please boil the water.,9,163
1800,あっち,あっち,あっち,"other side, over there (informal)",Noun,郵便局は<b>あっち</b>です。,The post office is that way.,10,18
1801,洗濯機,洗濯機[せんたくき],せんたくき,washing machine,Noun,新しい<b>洗濯機</b>を買いました。,I bought a new washing machine.,8,131
1802,洗濯,洗濯[せんたく],せんたく,"laundering, washing",Verbal Noun,一週間、<b>洗濯</b>をしていない。,I haven't done the laundry for a week.,10,75
1803,濡れる,濡[ぬ]れる,ぬれる,get wet,Verb,雨で<b>濡れてしまった</b>。,I got wet in the rain.,10,118
1804,喫茶店,喫茶店[きっさてん],きっさてん,"coffee shop, tea house, café",Noun,<b>喫茶店</b>でコーヒーを飲んだ。,I drank coffee in the café,7,104
1805,あんなに,あんなに,あんなに,like that,Adverb,<b>あんなに</b>いい人はいません。,There could never be such a good person.,10,19
1806,怠ける,怠[なま]ける,なまける,"be lazy (が), neglect (st) (を)",Verb,<b>怠けていないで</b>、手伝って。,Stop slacking and help me!,9,101
1807,一生懸命,一生懸命[いっしょうけんめい],いっしょうけんめい,"as hard as one can, with all one's might",Adverb,彼は毎日<b>一生懸命</b>働いている。,He works hard every day.,8,41
1808,休憩,休憩[きゅうけい],きゅうけい,"<div>break (from work, study, etc.)</div>",Verbal Noun,少し<b>休憩</b>しましょう。,Let's take a break.,7,178
1809,天井,天井[てんじょう],てんじょう,ceiling,Noun,この部屋は<b>天井</b>が高いですね。,This room has a high ceiling.,6,47
1810,いたずら,いたずら,いたずら,"mischief, prank",Verbal Noun,その子は<b>いたずら</b>が大好きだ。,That kid loves playing tricks.,10,21
1811,納豆,納豆[なっとう],なっとう,natto (fermented soybeans),Noun,私は<b>納豆</b>をよく食べます。,I often eat natto.,9,118
1812,化粧,化粧[けしょう],けしょう,"makeup, put on makeup",Verbal Noun,彼女は<b>化粧</b>が上手い。,She's very good with makeup.,8,91
1813,畑,畑[はたけ],はたけ,"field, farm, garden",Noun,母は<b>畑</b>仕事が好きだ。,My mother likes working in the field.,9,105
1814,炊く,炊[た]く,たく,cook (by boiling),Verb,母は毎朝ご飯を<b>炊く</b>。,My mother cooks rice every morning.,8,84
1815,ウェートレス,ウェートレス,ウェートレス,waitress,Noun,<b>ウェートレス</b>を呼んだ。,I called the waitress.,10,22
1816,自炊,自炊[じすい],じすい,cooking for oneself,Verbal Noun,私は毎日、<b>自炊</b>している。,I cook for myself every day.,8,177
1817,灰皿,灰皿[はいざら],はいざら,ashtray,Noun,<b>灰皿</b>をください。,Please give me an ashtray.,9,41
1818,灰,灰[はい],はい,ashes,Noun,火事ですべて<b>灰</b>になった。,Everything turned to ashes in the fire.,10,124
1819,灰色,灰色[はいいろ],はいいろ,"ash color, gray",Noun,今日の空は<b>灰色</b>だ。,The sky's gray today.,10,125
1820,おばさん,おばさん,おばさん,aunt,Noun,<b>おばさん</b>一家が遊びに来ました。,My aunt and her family came to visit.,10,28
1821,西暦,西暦[せいれき],せいれき,"CE, AD (year)",Noun,<b>西暦</b>1964年に東京でオリンピックがあった。,The Tokyo Olympics were held in 1964.,8,130
1822,毛,毛[け],け,"hair, wool",Noun,猫の<b>毛</b>がセーターに付いた。,I got cat hair on my sweater.,7,196
1823,髪,髪[かみ],かみ,"hair, hairstyle",Noun,昨日、<b>髪</b>を切りました。,I had my hair cut yesterday.,6,35
1824,舌,舌[した],した,tongue,Noun,<b>舌</b>を出してください。,Stick out your tongue.,7,179
1825,くし,くし,くし,comb,Noun,彼は<b>くし</b>で髪をとかした。,He combed his hair.,10,48
1826,臭い,臭[くさ]い,くさい,"ill-smelling, stinking",Adjective,納豆は<b>臭い</b>。,Natto stinks.,9,113
1827,匂い,匂[にお]い,におい,"smell, odor",Noun,いい<b>匂い</b>がする。,It smells good.,6,138
1828,居る,居[い]る,いる,be present,Verb,今日は一日中家に<b>いました</b>。,I was at home all day today.,8,189
1829,履く,履[は]く,はく,"put on (footwear, lower body clothing)",Verb,彼女はブーツを<b>履いています</b>。,She's wearing boots.,8,110
1830,クリーニング,クリーニング,クリーニング,"cleaning, laundry",Verbal Noun,スーツを<b>クリーニング</b>に出しました。,I sent the suit to the cleaners.,10,50
1831,戸,戸[と],と,"door (esp. Japanese style), shutter",Noun,部屋の<b>戸</b>が開いています。,The room's door is open.,5,156
1832,扇風機,扇風機[せんぷうき],せんぷうき,electric fan,Noun,暑いから<b>扇風機</b>をつけよう。,"It's hot, so let's turn on the fan.",8,158
1833,豚,豚[ぶた],ぶた,"pig, pork",Noun,<b>豚</b>はすごく鼻が良い。,Pigs have a very good sense of smell.,9,157
1834,豚肉,豚肉[ぶたにく],ぶたにく,"pork, hog meat",Noun,<b>豚肉</b>は美味しいです。,Pork is delicious.,10,146
1835,ごちそう,ごちそう,ごちそう,"feast, treat",Noun,テーブルの上に<b>ごちそう</b>が並んでいる。,There are some delicious treats lined up on the table.,10,54
1836,鶏,鶏[にわとり],にわとり,"chicken, hen",Noun,その<b>鶏</b>は毎朝鳴きます。,The rooster crows every morning.,10,113
1837,腕時計,腕時計[うでどけい],うでどけい,wrist watch,Noun,私の<b>腕時計</b>は遅れている。,My watch is slow.,8,59
1838,お菓子,お 菓子[かし],おかし,"sweets, snacks",Noun,みんなに<b>お菓子</b>をあげましょう。,Let's give everyone some sweets.,10,24
1839,お辞儀,お 辞儀[じぎ],おじぎ,"bow, bowing",Verbal Noun,皆、社長に<b>お辞儀</b>をした。,Everyone bowed to the company president.,9,67
1840,ごちそうする,ごちそうする,ごちそうする,treat,Verb,今日の夕食は私が<b>ごちそうします</b>。,I'll treat you to dinner tonight.,10,55
1841,寝坊,寝坊[ねぼう],ねぼう,"oversleeping,&nbsp;late riser",Verbal Noun,今朝は<b>寝坊</b>しました。,I slept in this morning.,9,103
1842,旗,旗[はた],はた,"flag, banner",Noun,<b>旗</b>が風に揺れている。,The flag is waving in the wind.,10,130
1843,鉛筆,鉛筆[えんぴつ],えんぴつ,pencil,Noun,<b>鉛筆</b>を貸して下さい。,Please lend me a pencil.,7,89
1844,万年筆,万年筆[まんねんひつ],まんねんひつ,fountain pen,Noun,父に<b>万年筆</b>をプレゼントしました。,I gave my father a fountain pen.,9,6
1845,こぼれる,こぼれる,こぼれる,"(st) spills, overflows",Verb,彼女の目から涙が<b>こぼれた</b>。,Tears rolled down from her eyes.,10,57
1846,箱,箱[はこ],はこ,"box, case",Noun,この<b>箱</b>は重い。,This box is heavy.,6,36
1847,本箱,本箱[ほんばこ],ほんばこ,bookcase,Noun,雑誌を<b>本箱</b>に入れました。,I put the magazine in the bookcase.,9,160
1848,手袋,手袋[てぶくろ],てぶくろ,gloves,Noun,寒いので<b>手袋</b>をしました。,I wore gloves because it was cold.,8,9
1849,袋,袋[ふくろ],ふくろ,"bag, sack",Noun,<b>袋</b>はいりません。,I don't need a bag.,10,5
1850,こんなに,こんなに,こんなに,"as this, so, such",Adverb,<b>こんなに</b>面白い本は初めて読んだ。,I've never read such an interesting book before.,10,59
1851,財布,財布[さいふ],さいふ,"purse, wallet",Noun,会社に<b>財布</b>を忘れた。,I left my wallet at the office.,7,63
1852,毛布,毛布[もうふ],もうふ,blanket,Noun,この<b>毛布</b>は暖かい。,This blanket is warm.,8,21
1853,布団,布団[ふとん],ふとん,"futon, bedquilt",Noun,母が<b>布団</b>を干している。,My mother is airing the futons.,8,54
1854,小包,小包[こづつみ],こづつみ,"parcel, package",Noun,フランスの友達から<b>小包</b>が届いた。,A package arrived from a friend in France.,7,126
1855,ざあざあ,ざあざあ,ざあざあ,"(sound of pouring rain) heavily, pouring",Adverb,雨が<b>ざあざあ</b>降っている。,It's pouring.,10,60
1856,包む,包[つつ]む,つつむ,"wrap, pack",Verb,プレゼントをきれいな紙で<b>包みました</b>。,I wrapped the present in beautiful paper.,9,149
1857,飾る,飾[かざ]る,かざる,"decorate, exhibit",Verb,テーブルの上に花を<b>飾りました</b>。,I decorated the table with flowers.,5,122
1858,手帳,手帳[てちょう],てちょう,"pocketbook, memo",Noun,新しい<b>手帳</b>を買いました。,I bought a new notebook.,8,25
1859,電話帳,電話帳[でんわちょう],でんわちょう,telephone book,Noun,<b>電話帳</b>を見せてください。,Please show me the telephone book.,8,119
1860,ジャガイモ,ジャガイモ,ジャガイモ,potato,Noun,ポテトサラダを作るから、<b>ジャガイモ</b>を買ってきて。,"I'm going to make potato salad, so go and buy some potatoes.",10,68
